# source: https://www.genenames.org/cgi-bin/genefamilies/set/1054
# https://www.genenames.org/cgi-bin/genefamilies/set/1054/download/branch
HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
10413	RPS25	ribosomal protein S25	Approved		S25	11q23.3	M64716	NM_001028	RPS	S ribosomal proteins	728
10414	RPS26	ribosomal protein S26	Approved		S26, eS26	12q13.2	AB007160	NM_001029	RPS	S ribosomal proteins	728
10416	RPS27	ribosomal protein S27	Approved		MPS-1, MPS1, S27	1q21.3	U57847	NM_001030	RPS	S ribosomal proteins	728
10417	RPS27A	ribosomal protein S27a	Approved		UBCEP80, Uba80, S27A	2p16.1	AB007163		RPS	S ribosomal proteins	728
18476	RPS27L	ribosomal protein S27 like	Approved			15q22.2	BC003667	NM_015920	RPS	S ribosomal proteins	728
10418	RPS28	ribosomal protein S28	Approved		S28, eS28	19p13.2	D14530	NM_001031	RPS	S ribosomal proteins	728
10419	RPS29	ribosomal protein S29	Approved		S29, uS14	14q21.3	L31610	NM_001030001	RPS	S ribosomal proteins	728
10420	RPS3	ribosomal protein S3	Approved		FLJ26283, FLJ27450, MGC87870, S3	11q13.4		NM_001005	RPS	S ribosomal proteins	728
3597	FAU	FAU, ubiquitin like and ribosomal protein S30 fusion	Approved		RPS30, FLJ22986, Fub1, Fubi, MNSFbeta, asr1, S30	11q13.1	AK026639	NM_001997	RPS	S ribosomal proteins	728
10421	RPS3A	ribosomal protein S3A	Approved	MFTL	S3A	4q31.3	X87373		RPS	S ribosomal proteins	728
10424	RPS4X	ribosomal protein S4 X-linked	Approved		DXS306, CCG2, SCAR, SCR10, FLJ40595, RPS4, S4	Xq13.1		NM_001007	RPS	S ribosomal proteins	728
10425	RPS4Y1	ribosomal protein S4 Y-linked 1	Approved	RPS4Y	MGC5070, MGC119100, S4	Yp11.2		NM_001008	RPS	S ribosomal proteins	728
18501	RPS4Y2	ribosomal protein S4 Y-linked 2	Approved	RPS4Y2P		Yq11.223	AF497481		RPS	S ribosomal proteins	728
10426	RPS5	ribosomal protein S5	Approved		S5	19q13.4	U14970	NM_001009	RPS	S ribosomal proteins	728
10429	RPS6	ribosomal protein S6	Approved		S6	9p22.1		NM_001010	RPS	S ribosomal proteins	728
10440	RPS7	ribosomal protein S7	Approved		S7, eS7	2p25.3		NM_001011	RPS	S ribosomal proteins	728
10441	RPS8	ribosomal protein S8	Approved		S8	1p34.1	BC070875	NM_001012	RPS	S ribosomal proteins	728
10442	RPS9	ribosomal protein S9	Approved		S9	19q13.42	U14971	NM_001013	RPS	S ribosomal proteins	728
